Cat,Category,FGA,%total FGAs,eFG%,% Shots at rim,FG% at rim,% Shots 2pt Jumpers,FG% 2pt Jumpers,% Shots 3pt,FG% 3pt,Year
Defense,Putbacks,66,3.40%,53.80%,80.30%,60.40%,13.60%,22.20%,6.10%,25.00%,1/1/15
Offense,Transition,436,21.10%,57.80%,44.00%,71.90%,27.80%,47.10%,28.20%,30.90%,1/1/15
D-1,Transition,361.18,20.43%,54.77%,47.45%,63.97%,18.20%,36.50%,34.34%,34.17%,1/1/15
Defense,Transition,322,16.50%,49.80%,29.20%,63.80%,32.00%,40.80%,38.80%,31.20%,1/1/15
Offense,5 Seconds Left in Shot Clock,307,15.60%,52.90%,24.40%,69.30%,37.50%,37.40%,38.10%,38.50%,1/1/16
D-1,5 Seconds Left in Shot Clock,300.52,16.26%,44.07%,26.05%,52.58%,35.53%,33.26%,38.42%,32.27%,1/1/16
Defense,5 Seconds Left in Shot Clock,131,6.30%,34.40%,23.70%,41.90%,38.20%,34.00%,38.20%,20.00%,1/1/16
Offense,Non-Transition,1553,78.80%,52.00%,33.00%,65.90%,37.90%,37.90%,29.10%,36.30%,1/1/16
D-1,Non-Transition,1474.06,79.09%,48.72%,33.20%,57.60%,31.68%,35.89%,35.12%,34.64%,1/1/16
Defense,Non-Transition,1678,81.20%,45.40%,25.60%,58.10%,44.60%,37.00%,29.80%,31.40%,1/1/16
Offense,Putbacks,128,6.50%,65.60%,64.10%,78.00%,32.80%,40.50%,3.10%,50.00%,1/1/16
D-1,Putbacks,97.73,5.19%,58.76%,78.62%,63.84%,19.50%,39.08%,1.88%,32.12%,1/1/16
Defense,Putbacks,103,5.00%,56.30%,53.40%,70.90%,42.70%,43.20%,3.90%,0.00%,1/1/16
Offense,Transition,417,21.20%,59.80%,41.50%,67.10%,27.80%,41.40%,30.70%,44.50%,1/1/16
D-1,Transition,392.98,20.91%,55.24%,46.78%,64.22%,17.26%,36.98%,35.95%,34.77%,1/1/16
Defense,Transition,388,18.80%,49.60%,36.60%,66.90%,25.80%,27.00%,37.60%,32.20%,1/1/16
